food_id,food_name,carbs ,protein ,fat,serving_unit ,unit_cal,weight
218,Chandan Batwa,3.2,1.6,2.1,1 K,38,40
219,Hatga,10,0.9,7.5,1 K,111,40
220,Ambat Chuka,0.9,0.7,1.5,1 K,20,50
221,Bengal Gram,8.1,3.6,3.6,1 K,79,45
222,Ambadi (Gongura),12.7,0.6,3.2,1 K,82,50
223,Coconut (dry),1.2,0.7,2.6,1 S,31,5
224,Coconut fresh,3.8,2.8,8.3,1 S,101,30
225,Lasoon,1.2,0.3,1.9,1 S,23,5
226,Groundnut,1.5,1.3,2.0,1 S,29,5
227,Niger (Karale) Seeds,0.8,1.2,2.0,1 S,26,5
228,Linseed (Jawas),1.5,1.0,1.9,1 S,27,5
229,Til,1.2,0.9,2.2,1 S,28,5
230,Capsicum,2.4,0.9,1.3,1 S,25,13
231,Curry leaves+ Coconut,1.4,0.6,2.1,1 S,27,5
232,Chana,7.5,2.9,0.7,1 S,48,13
233,Bottle gourd skin,2.3,0.6,0.5,1 S,16,13
234,Snake Gourd (Padwal),0.7,0.5,0.9,1 S,13,8
235,Methamba,6.3,0.1,0.5,1 S,30,26
236,Kawath,5.7,0.4,0.2,1 S,26,10
237,Banana,9.2,0.8,0.9,1 S,48,40
238,Cucumber,2.7,0.4,0.4,1 S,16,32
239,Onion,1.4,0.5,1.4,1 S,20,12
240,Potato,4.1,0.5,0.4,1 S,22,22
241,Beet,1.2,0.3,0.1,1 S,7,13
242,Carrot +G. nut,3.4,1.2,1.5,1 S,32,20
243,Gauva,3.3,0.1,0.6,1 S,19,16
244,Raddish,1.1,0.2,0.2,1 S,7,14
245,Matki,3.8,1.3,1.4,1 S,33,20
246,Tomato +Onion,2.7,0.7,1.4,1 S,26,30
247,Cabbage Salad,1.1,0.1,0.8,1 S,12,9
248,Bengan Bharta,0.3,0.1,0.7,1 S,8,10
249,Panchamrut,2.5,0.8,3.0,1 S,40,16
250,Raddish + B.gm Chataka,2.6,1.0,0.5,1 S,19,20
251,Cucumber + G.nut,3.6,1.7,3.2,1 S,50,40
252,Carrot + Curd,1.9,0.2,0.2,1 S,10,13
253,Tomato Salad,1.4,0.6,0.9,1 S,16,25
254,Apple,16.2,0.2,0.6,1 N,71,120
255,Banana,16.4,0.7,0.2,1 N,70,60
256,Custard apple,21.2,1.4,0.4,1 N,94,90
257,Figs,3.4,0.6,0.1,1 N,17,47
258,Grapes,41.3,1.7,1.1,1 K ,182,280
259,Guava,9.3,0.8,0.3,1 N,43,82
260,Jack Fruit,3.9,0.4,0.0,1 P`,17,19
261,Jambu Fruit,1.4,0.1,0.0,1 N,6,10
262,Mango,29.8,1.1,0.7,1 N,130,175
263,Orange,9.2,0.6,0.2,1 N,41,85
264,Papaya,3,0.3,0.1,1 SI,14,45
265, Pineapple,6.8,0.2,0.0,1 SI,28,60
266,Pomegranate,28.9,3.2,0.2,1 N,130,200
267,Sapota (Chiku),16.2,0.5,0.8,1 N,74,75
268,Sweet Lime,1.8,0.2,0.1,2 SI,9,20
269,Zizyphus (Bor),1.7,0.1,0.0,1 N,7,10
270,Tamrind,3.3,0.2,0.0,1 PI,14,5
271,Water Melon,2.2,0.1,0.1,1 SI,10,60
272,Tomato,2.3,0.5,0.1,1 N,12,60
273,Onion,6,0.8,0.1,1 N,28,50
274,Maka Kanis,6.1,1.2,0.2,1 N,31,25
275,Cucumber,1.6,0.2,0.1,1 N,8,60
276,Bengal gram tenber,6.5,0.5,0.1,1 F,29,35
277,Peas Tender,3.4,1.4,0.0,1 F,19,20
278,Carrot,6.5,0.5,0.1,1 N,29,60
279,Karonda,4.7,0.3,0.1,1 F,21,28
280,Umbar,2.3,0.2,0.1,1 N,11,20
281,Amla,0.8,0.0,0.0,1 N,3,5
282,Ramphal,7.8,0.7,0.1,1 N,35,50
283,Almond Fruit,0.5,1.0,3.0,3 N,33,5
284,Apricot,7.3,0.2,0.1,1 N,31,10
285,Cashewnut,1,1.1,2.4,1 N,30,5
286,Dates dried,4.6,0.2,0.0,1 N,19,6
287,Dates fresh,3.4,0.1,0.0,1 N,14,10
288,Raisins (Manuka),3.7,0.1,0.0,10 N,15,5
289,Bedane (dry grapa fruit),0.5,0.0,0.0,10 N,2,5
290,Pista,1.6,2.0,5.4,5 N,63,10
291,Walnut (Acrode),1,1.6,6.5,1 N,69,10
292,Shikaran (1 Banana),24.9,2.9,4.3,1 K,150,115
293,Vermicelli Porridge,30.4,4.7,6.4,1 K,198,102
294,Gajar Halwa,71.7,0.9,6.4,1 K,348,125
295,Gulab Jamun,11.9,1.7,9.3,2 N,138,38
296,Jilebi,15.2,0.7,2.5,1 N,86,22
297,Shrikhand,20.9,4.6,4.1,1 K,139,60
298,Mahim Halwa,13.8,0.4,5.8,1SI,109,20
299, Rava Porridge,34.1,2.0,3.2,1 K,173,127
300,Rice Porridge ,31.3,5.1,3.4,1 K,176,125
301,Wheat Porridge (Dalia),42.2,7.4,7.5,1 K,266,160
302,Dudhi Halwa,37.1,2.4,4.0,1 K,194,125
303,Sabudana Porridge,49.4,1.0,5.6,1 K,252,83
304,Tawkil Porridge,34.4,2.2,4.2,1 K,184,120
305,Sugar,5,0.0,0.0,1 S,20,5
306,Jaggery,9.5,0.0,0.0,1 PI,38,10
